,Teacher Name,University Currently Teaching,Department,Province University Located,Designation,Terminal Degree,Graduated from,Country,Year,Area of Specialization/Research Interests,Other Information
233,Muazzam A Khan Khattak,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD," University of Missouri, KC",USA,2016.0,"Wireless Sensor Networks, IOT, Image Encryption and Compression, Localization",
234,Qaiser Riaz,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD,University of Bonn,Germany,2015.0,"Human motion analysis, character animation, inertial based motion analysis, ubiquitous computing, robotics",
235,Safdar Abbas Khan ,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD,University of Paris,France,2011.0,Localization in wireless sensor networks; Soft computing techniques,
236,Sohail Iqbal Khan,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD,University of Paris-Est,France,2011.0,"Surgical Robotics, Mathematical Modeling, Fuzzy Controllers",
237,Sharifullah Khan TI,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD,The University of Leeds,UK,2002.0,"Databases, Information Retrieval",
238,Maajid Maqbool,National University of Sciences and Technology,Computing,Capital,Assistant Professor,MBA, University of Windsor,Canada,1983.0,Management and Technology in general,
239,Sana Khalique,National University of Sciences and Technology,Computing,Capital,Assistant Professor,MS, National University of Sciences and Technology-NIIT,Pakistan,2005.0,Distributed Computing,
240,Fahad Ahmed Satti,National University of Sciences and Technology,Computing,Capital,Assistant Professor,MS,University of Trento,Italy,2014.0,"e-learning, Big Data, Application Development",
241,Muhammad Imran Malik,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD,University of Technology,Germany,,Machine Learning,
242,Mudassar Ahmad Mughal,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD,Stockholm University,Sweden,,,
243,Nadeem Ahmed,National University of Sciences and Technology,Computing,Capital,Head of Department,PhD,"University of New South Wales, Sydney",Australia,2007.0,"Wireless Sensor Networks, Data Centre Networking, Software Defined Networking",
244,Muhammad Moazam Fraz,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD,Kingston University London,UK,2013.0,"Pattern Recognition, Computer Vision and Machine Learning, Medical Image Analysis",
245,Muhammad Mudassir Malik,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD,Vienna University of Technology,Austria,2009.0,"Scientific and Information Visualization, Comparative Visualization, Industrial CT (HEC Approved PhD Supervisor)",
246,Imran Mahmood Hashmi,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD,KTH Royal Institute of Technology,Sweden,2013.0,"Software Enginneering, System Modeling and Analysis, Formal Verification",
247,Saad Naeem Zafar,RIPHAH International,Computing,Capital,Dean,PhD,Griffith University,Australia,,"Software Engineering, Requirements Engineering, Software Quality, Software Engineering Education (e-Learning), Cybersecurity (Governance, Management, Audit, Data Security and Privacy)",
248,Naveed Ikram,RIPHAH International,Computing,Capital,Professor/Associate Dean (Research),PhD,University of Salford,UK,2000.0,"Empirical Software Engineering, Requirements Engineering, Usability Engineering, Global Software Development, Agile Development, Software Engineering Education",
249,Mr. Abdul Mateen,RIPHAH International,Computing,Capital,Assistant Professor/In Charge,MS,,,2016.0,Information Systems,
